lake,Month,tilt_max,surface(m2),tilted_ghi_max(kWh/m2),Power(MW)
lake_poma,January,25,2852946,3.16,1053.84
lake_poma,February,50,2852946,4.29,1432.71
lake_poma,March,25,2852946,4.21,1405.12
lake_poma,April,39,2852946,4.67,1559.72
lake_poma,May,25,2852946,4.21,1405.12
lake_poma,June,52,2852946,7.89,2635.2
lake_poma,July,52,2852946,7.92,2644.2
lake_poma,August,52,2852946,7.92,2644.2
lake_poma,September,39,2852946,4.67,1559.72
lake_poma,October,25,2852946,4.21,1405.12
lake_poma,November,39,2852946,4.67,1559.72
lake_poma,December,25,2852946,3.16,1053.84
lake_rubino,January,28,934519,3.21,351.08
lake_rubino,February,0,934519,2.95,322.72
lake_rubino,March,28,934519,4.28,468.11
lake_rubino,April,9,934519,4.04,441.24
lake_rubino,May,28,934519,4.28,468.11
lake_rubino,June,26,934519,5.3,579.37
lake_rubino,July,0,934519,4.94,540.06
lake_rubino,August,0,934519,4.94,540.06
lake_rubino,September,9,934519,4.04,441.24
lake_rubino,October,28,934519,4.28,468.11
lake_rubino,November,9,934519,4.04,441.24
lake_rubino,December,28,934519,3.21,351.08
lake_trinita,January,6,965242,3.01,340.44
lake_trinita,February,39,965242,3.5,394.95
lake_trinita,March,6,965242,4.02,453.92
lake_trinita,April,22,965242,4.17,470.43
lake_trinita,May,6,965242,4.02,453.92
lake_trinita,June,52,965242,7.87,889.3
lake_trinita,July,50,965242,7.15,807.01
lake_trinita,August,50,965242,7.15,807.01
lake_trinita,September,22,965242,4.17,470.43
lake_trinita,October,6,965242,4.02,453.92
lake_trinita,November,22,965242,4.17,470.43
lake_trinita,December,6,965242,3.01,340.44
lake_arancio,January,0,1767784,3.0,619.79
lake_arancio,February,0,1767784,2.95,609.89
lake_arancio,March,0,1767784,4.0,826.38
lake_arancio,April,0,1767784,3.97,820.33
lake_arancio,May,0,1767784,4.0,826.38
lake_arancio,June,25,1767784,5.25,1086.48
lake_arancio,July,0,1767784,4.96,1024.96
lake_arancio,August,0,1767784,4.96,1024.96
lake_arancio,September,0,1767784,3.97,820.33
lake_arancio,October,0,1767784,4.0,826.38
lake_arancio,November,0,1767784,3.97,820.33
lake_arancio,December,0,1767784,3.0,619.79
lake_giovanni,January,40,1171656,3.54,484.94
lake_giovanni,February,39,1171656,3.51,481.8
lake_giovanni,March,40,1171656,4.72,646.59
lake_giovanni,April,39,1171656,4.68,642.12
lake_giovanni,May,40,1171656,4.72,646.59
lake_giovanni,June,0,1171656,4.92,673.93
lake_giovanni,July,0,1171656,4.97,681.37
lake_giovanni,August,0,1171656,4.97,681.37
lake_giovanni,September,39,1171656,4.68,642.12
lake_giovanni,October,40,1171656,4.72,646.59
lake_giovanni,November,39,1171656,4.68,642.12
lake_giovanni,December,40,1171656,3.54,484.94
lake_villarosa,January,46,396783,3.92,182.04
lake_villarosa,February,38,396783,3.48,161.43
lake_villarosa,March,46,396783,5.23,242.72
lake_villarosa,April,44,396783,5.01,232.55
lake_villarosa,May,46,396783,5.23,242.72
lake_villarosa,June,0,396783,4.91,227.8
lake_villarosa,July,0,396783,4.97,230.79
lake_villarosa,August,0,396783,4.97,230.79
lake_villarosa,September,44,396783,5.01,232.55
lake_villarosa,October,46,396783,5.23,242.72
lake_villarosa,November,44,396783,5.01,232.55
lake_villarosa,December,46,396783,3.92,182.04
lake_nicoletti,January,29,699556,3.22,263.66
lake_nicoletti,February,0,699556,3.0,245.16
lake_nicoletti,March,29,699556,4.3,351.55
lake_nicoletti,April,20,699556,4.13,338.23
lake_nicoletti,May,29,699556,4.3,351.55
lake_nicoletti,June,0,699556,4.97,406.56
lake_nicoletti,July,0,699556,4.91,401.56
lake_nicoletti,August,0,699556,4.91,401.56
lake_nicoletti,September,20,699556,4.13,338.23
lake_nicoletti,October,29,699556,4.3,351.55
lake_nicoletti,November,20,699556,4.13,338.23
lake_nicoletti,December,29,699556,3.22,263.66
lake_comunelli,January,40,358359,3.52,147.72
lake_comunelli,February,36,358359,3.4,142.36
lake_comunelli,March,40,358359,4.7,196.96
lake_comunelli,April,39,358359,4.66,195.53
lake_comunelli,May,40,358359,4.7,196.96
lake_comunelli,June,51,358359,7.57,317.28
lake_comunelli,July,49,358359,7.11,298.2
lake_comunelli,August,49,358359,7.11,298.2
lake_comunelli,September,39,358359,4.66,195.53
lake_comunelli,October,40,358359,4.7,196.96
lake_comunelli,November,39,358359,4.66,195.53
lake_comunelli,December,40,358359,3.52,147.72
lake_disueri,January,50,480475,4.41,247.85
lake_disueri,February,50,480475,4.38,246.4
